state_name,total_population,pct_white,pct_black,pct_native,pct_asian,pct_two_or_more,male_pop,female_pop,pct_male,pct_female,pct_18_29,pct_30_44,pct_45_64,pct_65_plus,pct_hs_or_less,pct_some_college,pct_assoc,pct_bachelor,pct_grad,urban_pop,rural_pop,pct_urban,pct_rural
Kansas,2937569,0.7792334409847054,0.054408594317273906,0.007454463,0.029348077,0.12867510516348724,1473655,1463914,0.501658004,0.49834199639225496,0.1661166086651922,0.19172485820758592,0.198596527,0.20362857859679212,0.080999104,0.47724840466499385,0.090194813,0.2201052815067349,0.13145239754139698,1968171,969398,0.67,0.33
Kentucky,4510725,0.8368014011051439,0.078753859,0.00168709,0.015182038364121067,0.066747142,2233870,2276855,0.4952352448885711,0.5047647551114288,0.15637153672635773,0.1903547655864634,0.2170424931690582,0.20949470428811334,0.1146679652792239,0.5265780790258586,0.088834,0.15913483295361477,0.11078512239629103,2661328,1849397,0.59,0.41
Louisiana,4621025,0.5797289562380641,0.31052699347006346,0.005973783,0.017295946245692244,0.085850217,2262822,2358203,0.4896796706358438,0.5103203293641562,0.15703572259401324,0.20103526814938244,0.20504866344588052,0.20129127195806126,0.13098608666687672,0.5324089286598458,0.071098052,0.16772520829488524,0.097781725,3650610,970415,0.79,0.21
Maine,1377400,0.9134035138667054,0.016803397705822565,0.004528096,0.011120952519239146,0.053943662,678363,699037,0.4924952809641353,0.5075047190358647,0.13710396399012634,0.1825381152896762,0.231780166,0.2657100333962538,0.055114446750538545,0.4875736501972202,0.10386669683168902,0.22005351012659474,0.13339169609395748,840214,537186,0.61,0.39
Maryland,6170738,0.49600728470403377,0.295893295,0.003752874,0.064547385,0.1393849487694989,3002079,3168659,0.48650242483151934,0.5134975751684807,0.1482636274623878,0.2034144052137686,0.22380823817183618,0.20153618578523347,0.089566522,0.41398371517779975,0.069086103,0.22465879035661052,0.20270486913422142,5368542,802196,0.87,0.13
Massachusetts,6992395,0.7072932807714667,0.069988895,0.002346263,0.070775464,0.14922526544910578,3416765,3575630,0.4886401583434574,0.5113598416565426,0.16682295551095155,0.19944425336383315,0.22279905525932103,0.21523426522672132,0.085976711,0.37247934034693253,0.075294149,0.25267559441365406,0.21357420591512102,6433003,559392,0.92,0.08
Michigan,10051595,0.747773065,0.13397764235427312,0.004577383,0.032798377,0.080607904,4982079,5069516,0.49565059077688667,0.5043494092231133,0.1583888925090993,0.1852884044771004,0.218313511,0.2236359503143531,0.081077272,0.5040406449875794,0.097247459,0.1928267320679066,0.12480789246915515,7337664,2713931,0.73,0.27
Minnesota,5713716,0.7835023651858091,0.068044859,0.008896662,0.050605945412757654,0.088534327,2862134,2851582,0.5009233920621886,0.4990766079378114,0.15165384488833536,0.20081134589118535,0.2092561128344496,0.20773538621800594,0.061483122,0.4328515826446599,0.11738074040625104,0.2526556153931019,0.1356289399346776,4285287,1428429,0.75,0.25
Mississippi,2951438,0.5630723057709496,0.3695747632171165,0.004465959,0.009797936,0.052610965,1431521,1519917,0.4850249268322763,0.5149750731677236,0.16081584637725746,0.18850370565127914,0.20909468537031778,0.2070102777019202,0.13361735128391747,0.51705275,0.10774360020666925,0.14725335964407416,0.094332938,1564262,1387176,0.53,0.47
Missouri,6168181,0.7833178047142261,0.11131579958499921,0.002728519,0.020726693979959406,0.080341676,3040690,3127491,0.4929638089414043,0.5070361910585958,0.1568115462240813,0.19347162477884486,0.2100714943352019,0.2148511854629428,0.0841109,0.5137012286149486,0.083218888,0.1955448244334467,0.1234241595359451,4317727,1850454,0.7,0.3
Montana,1105072,0.8567550349660474,0.005443084,0.057107591179579247,0.008322535,0.07193287,560035,545037,0.5067859831757568,0.49321401682424315,0.15399720561194202,0.19284806781820552,0.20110544833277832,0.23944593655436025,0.054290666,0.5032420959712333,0.097077246,0.2283837551195259,0.11700623754600271,596739,508333,0.54,0.46
